pps_mean,pps,pps_var,bps,cpu_idle,rssi_mean,rssi_var,label
0.010983,203,0.000205,48879,47.84,-79.6,64.05,0
0.011196,185,0.000175,47273,45.65,-78.5,71.65,0
0.016081,90,0.000263,22148,30.91,-78.1,110.36,0
0.014075,100,0.000244,21259,29.66,-74.7,188.49,0
0.018283,90,0.000285,20607,36.1,-73.3,141.94,0
0.015996,103,0.00025,25506,34.36,-77.5,119.03,0
0.017182,84,0.000251,21106,29.79,-76.6,109.82,0
0.018295,135,0.000377,35405,51.67,-78.2,124.75,0
0.011141,149,0.000228,36969,34.95,-73.6,81.53,0
0.014561,210,0.000256,48292,64.97,-78.4,128.54,0
0.012373,199,0.000216,46817,51.43,-77.9,123.26,0
0.00601,212,0.00009,51366,27.97,-72.8,166.36,0
0.01423,102,0.000307,25469,30,-74.7,160.02,0
0.014475,96,0.000215,21957,28.77,-73.3,223.6,0
0.017843,70,0.000285,18514,25.97,-73.8,161.92,0
0.014394,116,0.000264,27330,35.55,-68.1,274.28,0
0.013471,104,0.000243,22950,28.71,-69.1,364.02,0
0.011764,122,0.000201,20589,30.81,-67.9,594.2,0
0.017153,72,0.000284,15621,26.17,-62.3,455.34,0
0.009309,270,0.000148,57769,52.34,-68.5,374.78,0
0.015251,105,0.000257,26220,32.98,-64.9,394.74,0
0.010734,286,0.000193,72038,64.29,-68.2,463.25,0
0.012171,105,0.000185,25603,26.12,-66,596.5,0
0.014914,94,0.000235,22085,28.78,-63.8,732.45,0
0.008109,203,0.000153,46989,34.85,-67.2,415.46,0
0.016936,74,0.000274,18517,25.47,-66.7,474.98,0
0.01246,130,0.000257,27693,33.91,-66.4,353.43,0
0.012831,97,0.000306,22302,25.67,-64.7,272.79,0
